Year,Program,Cohort,Company,Industry_Sector,Company_Tier,Job_role,Location,Students_Eligible,Applied_Y_N,Students_Interviewed,Vacancies_Offered,Students_Selected,Avg_CTC,Highest_CTC
2022,MGB,Jan-22,Apple,Healthcare,Tier 1,Business Analyst,Pune,41,26,17,4,3,853277,2985613
2022,MGB,Jan-22,IBM,Retail,Tier 3,Business Analyst,Pune,34,17,5,3,1,2355723,3435757
2022,MGB,Jan-22,Amazon,Finance,Tier 1,Operations Manager,Mumbai,30,14,13,6,1,931689,2684082
2022,MGB,Jan-22,Adobe,Consulting,Tier 1,Product Manager,Delhi,27,20,16,13,1,2309520,1785415
2022,MGB,Jan-22,Oracle,Finance,Tier 3,Data Analyst,Chennai,38,30,8,3,2,1726137,3234717
2022,MGB,Jan-22,Salesforce,Healthcare,Tier 3,Business Analyst,Bangalore,34,30,9,11,5,2252118,2254130
2022,MGB,Jan-22,Netflix,Manufacturing,Tier 2,Operations Manager,Gurgaon,24,14,7,15,4,2216428,2547781
2022,MGB,May-22,Salesforce,Finance,Tier 1,Marketing Manager,Chennai,40,22,11,9,4,1970609,3003543
2022,MGB,May-22,Microsoft,Consulting,Tier 2,Operations Manager,Chennai,23,21,6,7,2,2195680,2415660
2022,MGB,May-22,Amazon,Manufacturing,Tier 3,Marketing Manager,Delhi,28,11,15,8,6,2349412,3471156
2022,MGB,May-22,Netflix,Finance,Tier 2,Business Analyst,Mumbai,44,20,18,4,4,2351171,3330351
2022,MGB,May-22,Google,Retail,Tier 1,Product Manager,Bangalore,32,25,9,6,6,1254466,2537488
2022,MGB,May-22,Oracle,Retail,Tier 1,Business Analyst,Delhi,31,12,17,13,3,1534764,1236166
2022,MGB,May-22,Apple,Manufacturing,Tier 3,Operations Manager,Hyderabad,23,27,10,14,6,1152327,2457769
2022,MGB,May-22,Adobe,Retail,Tier 2,Business Analyst,Pune,25,27,18,9,4,826659,1580170
2022,MGB,May-22,IBM,Consulting,Tier 1,Product Manager,Chennai,50,15,10,15,4,2002502,1934016
2022,MGB,May-22,Meta,Finance,Tier 3,Consultant,Mumbai,20,10,18,11,7,1081812,2919284
2022,MGB,Sep-22,Google,Manufacturing,Tier 1,Data Analyst,Pune,25,12,20,5,3,1285698,1514032
2022,MGB,Sep-22,Meta,Consulting,Tier 1,Marketing Manager,Chennai,43,12,12,2,1,1172530,1764002
2022,MGB,Sep-22,Netflix,Retail,Tier 1,Consultant,Gurgaon,29,24,7,4,1,812140,1396196
2022,MGB,Sep-22,IBM,Healthcare,Tier 3,Data Analyst,Bangalore,50,10,9,8,8,1638806,2378543
2022,MGB,Sep-22,Adobe,Healthcare,Tier 1,Consultant,Bangalore,23,23,6,8,8,1257994,3405036
2022,MGB,Sep-22,Salesforce,Retail,Tier 2,Business Analyst,Hyderabad,50,21,5,13,1,1163780,2038379
2022,MGB,Sep-22,Amazon,Manufacturing,Tier 1,Business Analyst,Pune,33,12,19,6,4,1033463,2062290
2022,MGB,Sep-22,Microsoft,Technology,Tier 3,Marketing Manager,Bangalore,48,16,18,15,2,1393733,1590714
2022,GMBA,Jan-22,Meta,Finance,Tier 2,Consultant,Pune,29,13,11,15,8,1614453,3395126
2022,GMBA,Jan-22,Amazon,Education,Tier 3,Business Analyst,Gurgaon,35,23,6,7,4,1326401,2426068
2022,GMBA,Jan-22,Apple,Education,Tier 1,Consultant,Bangalore,39,11,13,4,4,1513411,1619794
2022,GMBA,Jan-22,Netflix,Education,Tier 2,Marketing Manager,Chennai,37,24,5,10,2,1984118,1991824
2022,GMBA,Jan-22,Google,Consulting,Tier 3,Business Analyst,Hyderabad,29,15,6,4,2,1445193,2318237
2022,GMBA,Jan-22,Oracle,Finance,Tier 2,Product Manager,Hyderabad,28,12,20,14,3,2437676,2606103
2022,GMBA,Jan-22,Salesforce,Healthcare,Tier 3,Data Analyst,Delhi,26,26,17,14,5,1552742,2430700
2022,GMBA,Jan-22,Microsoft,Education,Tier 1,Consultant,Chennai,37,21,12,14,7,1990804,1373906
2022,GMBA,May-22,Oracle,Retail,Tier 2,Operations Manager,Bangalore,20,10,15,12,4,1810216,2323724
2022,GMBA,May-22,Amazon,Consulting,Tier 3,Marketing Manager,Mumbai,22,22,13,4,2,2473701,1336320
2022,GMBA,May-22,Apple,Consulting,Tier 3,Consultant,Mumbai,44,17,20,11,2,1439054,3249876
2022,GMBA,May-22,Meta,Consulting,Tier 1,Consultant,Chennai,40,30,18,15,2,1895867,2298589
2022,GMBA,May-22,Adobe,Manufacturing,Tier 2,Data Analyst,Chennai,26,24,6,6,4,2377984,3093192
