Unit_Name,CP,IA,GA,TE,Total_score,Year,Program,Cohort
Unit 1,15.97,16.61,18.04,32.64,83.26,2022,MGB,Jan-22
Unit 2,18.35,17.3,17.73,30.07,83.46,2022,MGB,Jan-22
Unit 3,18.43,15.25,15.93,32.43,82.04,2022,MGB,Jan-22
Unit 4,18.73,17.39,17.37,37.31,90.8,2022,MGB,Jan-22
Unit 5,17.71,16.22,15.03,36.42,85.39,2022,MGB,Jan-22
Unit 1,17.82,15.82,18.02,34.32,85.98,2022,MGB,May-22
Unit 2,16.21,15.95,19.09,36.9,88.15,2022,MGB,May-22
Unit 3,18.02,17.4,18.93,31.33,85.68,2022,MGB,May-22
Unit 4,17.83,19.3,16.45,30.4,83.98,2022,MGB,May-22
Unit 5,19.34,19.61,16.61,37.63,93.19,2022,MGB,May-22
Unit 1,19.08,19.67,19.48,34.6,92.83,2022,MGB,Sep-22
Unit 2,18.09,17.97,15.93,31.65,83.64,2022,MGB,Sep-22
Unit 3,17.37,16.18,19.67,31.59,84.81,2022,MGB,Sep-22
Unit 4,18.6,19.34,18.26,30.47,86.67,2022,MGB,Sep-22
Unit 5,16.19,15.91,17.88,32.51,82.49,2022,MGB,Sep-22
Unit 1,19.96,15.33,18.08,32.28,85.65,2022,GMBA,Jan-22
Unit 2,18.99,17.58,16.47,32.12,85.16,2022,GMBA,Jan-22
Unit 3,16.48,18.3,18.02,35.25,88.06,2022,GMBA,Jan-22
Unit 4,19.45,15.05,18.36,33.31,86.17,2022,GMBA,Jan-22
Unit 5,16.61,15.42,19.21,36.9,88.14,2022,GMBA,Jan-22
Unit 1,15.63,16.95,19.57,34.43,86.58,2022,GMBA,May-22
Unit 2,17.18,18.45,18.11,32.02,85.76,2022,GMBA,May-22
Unit 3,19.8,15.62,15.02,38.32,88.76,2022,GMBA,May-22
Unit 4,18.94,19.92,16.07,31.55,86.48,2022,GMBA,May-22
Unit 5,18.87,17.16,18.13,37.79,91.95,2022,GMBA,May-22
Unit 1,19.57,17.46,17.34,32.18,86.55,2022,GMBA,Sep-22
Unit 2,19.7,17.07,18.63,37.0,92.4,2022,GMBA,Sep-22
Unit 3,15.17,16.99,19.64,37.3,89.11,2022,GMBA,Sep-22
Unit 4,15.14,19.01,15.02,35.59,84.76,2022,GMBA,Sep-22
Unit 5,15.26,16.89,15.17,36.14,83.47,2022,GMBA,Sep-22
Unit 1,15.85,17.52,16.52,36.3,86.19,2023,MGB,Jan-23
Unit 2,15.42,19.12,18.2,37.91,90.66,2023,MGB,Jan-23
Unit 3,16.49,15.27,19.49,32.7,83.95,2023,MGB,Jan-23
Unit 4,18.38,19.34,17.37,37.59,92.67,2023,MGB,Jan-23
Unit 5,17.53,17.14,17.1,33.71,85.49,2023,MGB,Jan-23
Unit 1,19.63,19.21,17.15,31.6,87.59,2023,MGB,May-23
Unit 2,19.21,16.23,17.02,38.05,90.51,2023,MGB,May-23
Unit 3,18.31,16.78,19.23,38.1,92.43,2023,MGB,May-23
Unit 4,17.02,19.78,16.31,34.12,87.22,2023,MGB,May-23
Unit 5,15.35,17.87,16.34,35.95,85.51,2023,MGB,May-23
Unit 1,18.23,16.04,17.61,32.18,84.06,2023,MGB,Sep-23
Unit 2,17.94,18.85,18.4,37.49,92.67,2023,MGB,Sep-23
Unit 3,19.19,18.54,19.21,35.98,92.93,2023,MGB,Sep-23
Unit 4,15.39,17.99,18.53,34.27,86.18,2023,MGB,Sep-23
Unit 5,17.95,18.1,16.57,33.14,85.76,2023,MGB,Sep-23
Unit 1,19.33,17.99,19.0,32.08,88.4,2023,GMBA,Jan-23
Unit 2,19.12,18.88,17.18,32.16,87.34,2023,GMBA,Jan-23
Unit 3,15.66,16.11,17.95,38.93,88.66,2023,GMBA,Jan-23
Unit 4,15.51,15.5,18.59,35.86,85.46,2023,GMBA,Jan-23
Unit 5,19.67,17.67,18.25,36.61,92.2,2023,GMBA,Jan-23
Unit 1,19.55,16.65,16.44,39.33,91.97,2023,GMBA,May-23
Unit 2,16.14,15.08,18.5,31.82,81.54,2023,GMBA,May-23
Unit 3,17.25,18.71,19.94,38.76,94.65,2023,GMBA,May-23
Unit 4,15.69,15.97,17.96,35.31,84.92,2023,GMBA,May-23
Unit 5,19.58,19.7,16.5,38.27,94.04,2023,GMBA,May-23
Unit 1,19.65,15.81,16.99,34.61,87.05,2023,GMBA,Sep-23
Unit 2,17.52,17.46,19.24,37.74,91.96,2023,GMBA,Sep-23
Unit 3,17.63,19.54,15.64,34.5,87.32,2023,GMBA,Sep-23
Unit 4,18.21,18.24,15.29,36.57,88.32,2023,GMBA,Sep-23
Unit 5,19.86,16.45,16.94,30.49,83.75,2023,GMBA,Sep-23
Unit 1,18.49,19.94,16.0,37.23,91.66,2024,MGB,Jan-24
Unit 2,17.88,16.85,16.53,37.48,88.73,2024,MGB,Jan-24
